TAIL_NUM,MFR,MODEL,YEAR MFR
N895UA,AIRBUS,A319-132,2007
N13720,BOEING,737-724,1999
N610FR,AIRBUS,A321-271NX,2022
N327SK,BOEING,737-8,2020
N778RH,EMBRAER,ERJ 170-100 SE,2004
N619FR,AIRBUS S A S,A321-271NX,2023
N17312,BOEING,737-8,2019
N27269,BOEING,737-8,2022
N17311,BOEING,737-8,2023
N338ST,BOEING,737-8,2021
N153AN,AIRBUS,A321-231,2015
N27258,BOEING,737-8,2021
N320DN,AIRBUS SAS,A321-213,2017
N901AA,AIRBUS,A321-231,2017
N37313,BOEING,737-8,2023
N318DU,AIRBUS CANADA LP,BD-500-1A11,2023
N37528,BOEING,737-9,2021
N17310,BOEING,737-8,2023
N134AN,AIRBUS,A321-231,2015
275NV,AIRBUS,A320-214,
N37307,BOEING,737-8,2019
N27277,BOEING,737-8,2022
N307TA,BOEING,737-8,2023
N87531,BOEING,737-824,2011
N947AK,BOEING,737-9,2023
N8899H,BOEING,737-8,2023
N37567,BOEING,737-9,2023
N962AK,BOEING,737-9,2023
N17303,BOEING,737-8,2023
N227NN,EMBRAER S A,ERJ 170-200 LR,2016
N311VE,EMBRAER S A,ERJ 170-200 LR,2023
N982AT,BOEING,717-200,2002
N9019F,AIRBUS,A319-115,2014
N955DZ,BOEING,737-9GPER,
N77578,BOEING,737-9,2023
N17574,BOEING,737-9,2023
N37257,BOEING,737-8,
N985NK,AIRBUS,A320-271N,2023
N982AK,BOEING,737-9,2023
N258NN,EMBRAER,ERJ 170-200 LR,2017
N370DN,AIRBUS,A321-211,2019
N321DU,AIRBUS CANADA LP,BD-500-1A11,2023
N803UA,AIRBUS INDUSTRIE,A319-131,1997
N47340,BOEING,737-8,2023
N709NK,AIRBUS S A S,A321-271NX,2023
250NV,AIRBUS,A320-214,2017
N284JN,EMBRAER S A,ERJ 170-200 LR,2019
N705NK,AIRBUS,A321-271NX,2023
N919AT,BOEING,717-200,2001
N362DN,AIRBUS SAS,A321-213,2018
N909AN,BOEING,737-823,1999
N974AT,BOEING,717-200,2002
N300LK,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,2020
N947AT,BOEING,717-200,1999
N933AN,BOEING,737-823,2000
N899AT,BOEING,717-200,2005
N992AT,BOEING,717-200,2002
N337TN,BOEING,737-8,2023
N339TP,BOEING,737-8,2023
N211NN,EMBRAER S A,ERJ 170-200 LR,2015
N948AT,BOEING,717-200,1999
N8914Q,BOEING,737-8,2023
N722TW,BOEING,757-231,1999
N818UA,AIRBUS INDUSTRIE,A319-131,1998
N915AT,BOEING,717-200,2001
N77576,BOEING,737-9,2023
N8917Q,BOEING,737-8,2023
N8903H,BOEING,737-8,2023
N8911Q,BOEING,737-8,2023
N779RN,EMBRAER,ERJ 170-100 SE,2004
N37556,BOEING,737-9,2023
N308TB,BOEING,737-8,2023
N8897K,BOEING,737-8,2023
N703AL,BOEING,737-9,2023
N319TE,BOEING,737-8,2023
N156SY,EMBRAER,ERJ 170-200 LR,2016
N342NB,AIRBUS,A319-114,2002
N8888M,BOEING,737-8,2023
N960AT,BOEING,717-200,2001
N8906K,BOEING,737-8,2023
N376DA,BOEING,737-832,1999
N70020,AIRBUS,A319-115,2014
N8889Q,BOEING,737-8,2023
N712NK,AIRBUS S A S,A321-271NX,2023
271NV,AIRBUS,A320-214,2006
N8912Q,BOEING,737-8,2023
N8920Q,BOEING,737-8,2023
N303DD,EMBRAER S A,ERJ 170-200 LR,2022
N631FR,AIRBUS,A321-271NX,2023
N783LC,EMBRAER,ERJ 170-100SU,2004
N8894Q,BOEING,737-8,2023
N12028,AIRBUS,A319-115,2015
N8909L,BOEING,737-8,2023
N706NK,AIRBUS S A S,A321-271NX,2023
N9012,AIRBUS,A319-115,2013
N769KW,EMBRAER,ERJ 170-100 LR,2004
N154AA,AIRBUS,A321-231,2016
N270NN,EMBRAER S A,ERJ 170-200 LR,2019
N953AN,BOEING,737-823,2001
N8892S,BOEING,737-8,2023
N620FR,AIRBUS,A321-271NX,2023
N878RW,EMBRAER,ERJ 170-100 LR,2007
N3756,BOEING,737-832,2001
N8872Q,BOEING,737-8,2023
N6703D,BOEING,757-232,2000
N8874Q,BOEING,737-8,2023
N13718,BOEING,737-724,1999
N27539,BOEING,737-9,2022
N860RW,EMBRAER,ERJ 170-100 SE,2005
N704X,BOEING,757-2Q8,1997
N245NN,EMBRAER S A,ERJ 170-200 LR,2016
N702NK,AIRBUS,A321-271NX,2023
N266NN,EMBRAER S A,ERJ 170-200 LR,2018
N431UA,AIRBUS INDUSTRIE,A320-232,1996
N264NN,EMBRAER S A,ERJ 170-200 LR,2018
N302SS,BOEING,737-8,
N657AW,AIRBUS INDUSTRIE,A320-232,1999
N37532,BOEING,737-9,2022
N335SN,BOEING,737-8,2021
N303RG,BOEING,737-8,2018
N75433,BOEING,737-924ER,2009
N616FR,AIRBUS,A321-271NX,2023
N487UA,AIRBUS INDUSTRIE,A320-232,2002
N702TW,BOEING,757-2Q8,1996
N253NN,EMBRAER S A,ERJ 170-200 LR,2017
N8876Q,BOEING,737-8,2023
N37542,BOEING,737-9,2022
N272AK,BOEING,737-900ER,2017
N723TW,BOEING,757-231,2000
N77543,BOEING,737-9,2022
N140SY,EMBRAER S A,ERJ 170-200 LR,2015
N712TW,BOEING,757-2Q8,1997
N298AK,BOEING,737-900ER,2019
N929AN,BOEING,737-823,2000
N604AW,AIRBUS INDUSTRIE,A320-232,2000
N889UA,AIRBUS,A319-132,2006
N318SF,BOEING,737-8,2020
N127AA,AIRBUS,A321-231,2014
N436UA,AIRBUS INDUSTRIE,A320-232,1996
N315RJ,BOEING,737-8,2018
N16709,BOEING,737-724,1998
N492UA,AIRBUS,A320-232,2002
N519JB,AIRBUS INDUSTRIE,A320-232,2001
N256NN,EMBRAER S A,ERJ 170-200 LR,2017
N275AK,BOEING,737-900ER,2017
N862NN,BOEING,737-823,2010
N8883Q,BOEING,737-8,2023
N949NN,BOEING,737-823,2014
N806UA,AIRBUS INDUSTRIE,A319-131,1998
N37554,BOEING,737-9,2023
N15712,BOEING,737-724,1998
N391DA,BOEING,737-832,2000
N250NN,EMBRAER S A,ERJ 170-200 LR,2017
N310RF,BOEING,737-8,2018
N37419,BOEING,737-924ER,2008
N8884Q,BOEING,737-8,2023
N902AA,AIRBUS,A321-231,2017
N355DN,AIRBUS SAS,A321-213,2018
N8881L,BOEING,737-8,2023
N967AK,BOEING,737-9,2023
N606FR,AIRBUS,A321-271NX,2023
N718TW,BOEING,757-231,1999
N941NN,BOEING,737-823,2013
N8891Q,BOEING,737-8,2023
N343RY,BOEING,737-8,2019
N24702,BOEING,737-724,1998
N615FR,AIRBUS,A321-271NX,2023
N8902Q,BOEING,737-8,2023
N37547,BOEING,737-9,2022
N378SC,BOEING,737-8,2020
N914AN,BOEING,737-823,1999
N8878L,BOEING,737-8,2023
N37563,BOEING,737-9,2023
N624FR,AIRBUS,A321-271NX,2023
N62896,BOEING,737-900ER,2016
N8901Q,BOEING,737-8,2023
N391DN,AIRBUS,A321-211,2019
N37561,BOEING,737-9,2023
N998AT,BOEING,717-200,2002
N17316,BOEING,737-8,2023
N625FR,AIRBUS,A321-271NX,2023
N905AU,AIRBUS,A321-231,2017
N24729,BOEING,737-724,1999
N25705,BOEING,737-724,1998
N37252,BOEING,737-824,2000
N649JB,AIRBUS,A320-232,2006
N120DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019
N815MD,EMBRAER,ERJ 170-100SU,2004
N651AW,AIRBUS INDUSTRIE,A320-232,1998
N629FR,AIRBUS,A321-271NX,2023
246NV,AIRBUS,A320-214,2017
N77558,BOEING,737-9,2023
N375NC,AIRBUS,A320-212,2002
N316RK,BOEING,737-8,2018
N978NK,AIRBUS,A320-271N,2023
N926AN,BOEING,737-823,2000
N339SU,BOEING,737-8,2020
N983NK,AIRBUS,A320-271N,2023
N928AN,BOEING,737-823,2000
N37553,BOEING,737-9,2023
N27568,BOEING,737-9,2023
N108DN,AIRBUS,A321-211,2021
277NV,AIRBUS,A320-214,2007
N122DN,AIRBUS,A321-211,2021
N469AS,BOEING,737-990ER,2014
N882RW,EMBRAER,ERJ 170-100 LR,2008
N622FR,AIRBUS,A321-271NX,2023
N341SV,BOEING,737-8,2021
N879RW,EMBRAER,ERJ 170-100 LR,2008
N981NK,AIRBUS,A320-271N,2023
N343SY,BOEING,737-8,2023
N15751,BOEING,737-71Q,1999
N47569,BOEING,737-9,2023
N324RN,BOEING,737-8,2018
N350RV,BOEING,737-8,2018
N106DN,AIRBUS,A321-211,2020
N377DE,BOEING,737-8EH,2014
N621FR,AIRBUS,A321-271NX,2023
N8887Q,BOEING,737-8,2023
N808NN,BOEING,737-823,
N8898L,BOEING,737-8,2023
N69813,BOEING,737-924ER,2014
N322TH,BOEING,737-8,2023
N494AS,BOEING,737-990ER,2016
N329SL,BOEING,737-8,2020
N398DN,AIRBUS,A321-211,2020
N68821,BOEING,737-924ER,2014
N8886C,BOEING,737-8,2023
N8890Q,BOEING,737-8,2023
N772MR,EMBRAER,ERJ 170-100 LR,2004
N293AK,BOEING,737-900ER,2018
N982NK,AIRBUS,A320-271N,2023
241NV,AIRBUS,A320-214,2000
N315PQ,BOMBARDIER INC,CL-600-2D24,2014
N132EV,BOMBARDIER INC,CL-600-2D24,2009
N261WN,BOEING,737-7H4,2006
N410YX,EMBRAER,ERJ 170-200 LR,2013
N678CA,BOMBARDIER INC,CL-600-2D24,2007
N589NN,BOMBARDIER INC,CL-600-2D24,2016
N906DN,BOEING,737-900ER,2018
N210WN,BOEING,737-7H4,2005
N123HQ,EMBRAER,ERJ 170-200 LR,2007
N37466,BOEING,737-924ER,2013
N812AW,AIRBUS INDUSTRIE,A319-132,2000
N348NB,AIRBUS,A319-114,2002
N952WN,BOEING,737-7H4,2010
N575UW,AIRBUS INDUSTRIE,A321-231,2014
N891DN,BOEING,737-900ER,2018
N204WN,BOEING,737-7H4,2005
N296WN,BOEING,737-7H4,2007
N959NN,BOEING,737-823,2014
N7887A,BOEING,737-752,2007
N824DN,BOEING,737-932ER,2014
N497WN,BOEING,737-7H4,2004
N301PQ,BOMBARDIER INC,CL-600-2D24,2013
N7733B,BOEING,737-76N,2006
N455UA,AIRBUS INDUSTRIE,A320-232,1999
N880DN,BOEING,737-900ER,2017
N715FR,AIRBUS,A321-211,2016
N254WN,BOEING,737-7H4,2006
N8815L,BOEING,737-8,2021
N904DN,BOEING,737-900ER,2018
N412YX,EMBRAER,ERJ 170-200 LR,2013
N8652B,BOEING,737-8H4,2014
N138HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N839DN,BOEING,737-932ER,2015
N921US,AIRBUS,A321-231,2015
N425LV,BOEING,737-7H4,2002
N38473,BOEING,737-924ER,2013
N8629A,BOEING,737-8H4,2014
N131DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2020
N152AA,AIRBUS,A321-231,2015
N602NK,AIRBUS,A320-232,2010
N442WN,BOEING,737-7H4,2003
N820DN,BOEING,737-932ER,2014
N7843A,BOEING,737-752,2006
N8543Z,BOEING,737-800,2017
N228WN,BOEING,737-7H4,2005
N634NK,AIRBUS,A320-232,2014
N922NN,BOEING,737-823,2013
N8748Q,BOEING,737-8,2020
N205WN,BOEING,737-7H4,2005
N652NK,AIRBUS,A320-232,2017
N239NN,EMBRAER S A,ERJ 170-200 LR,2016
N77530,BOEING,737-824,2011
N920NN,BOEING,737-823,2013
N877DN,BOEING,737-900ER,2017
N8579Z,BOEING,737-800,2018
N26215,BOEING,737-824,1998
N7748A,BOEING,737-7BD,2007
N630NK,AIRBUS,A320-232,2014
N8724J,BOEING,737-8,2018
N329PQ,BOMBARDIER INC,CL-600-2D24,2014
N351NB,AIRBUS,A319-114,2002
N670NK,AIRBUS,A321-231,2016
N4032T,AIRBUS,A319-115,2015
N323FR,AIRBUS,A320-251N,2017
N8802Q,BOEING,737-8,2021
N8545V,BOEING,737-800,2017
N8621A,BOEING,737-8H4,2013
N8720L,BOEING,737-8,2018
N938AN,BOEING,737-823,2000
N287WN,BOEING,737-7H4,2007
N8612K,BOEING,737-8H4,2013
N8556Z,BOEING,737-800,2017
N8560Z,BOEING,737-800,2018
N925DZ,BOEING,737-900ER,2019
N8699A,BOEING,737-8H4,2016
N846NN,BOEING,737-823,2010
N647NK,AIRBUS,A320-232,2017
N298WN,BOEING,737-7H4,2007
N899DN,BOEING,737-900ER,2018
N557UW,AIRBUS,A321-231,2012
N835DN,BOEING,737-932ER,2015
N212WN,BOEING,737-7H4,2005
N35260,BOEING,737-824,2001
N564WN,BOEING,737-73V,2002
N855DN,BOEING,737-932ER,2016
N7858A,BOEING,737-79P,2005
N912WN,BOEING,737-7H4,2008
N913NK,AIRBUS,A320-271N,2017
N576NN,BOMBARDIER INC,CL-600-2D24,2015
N14235,BOEING,737-824,1999
N459AS,BOEING,737-990ER,2014
N762US,AIRBUS INDUSTRIE,A319-112,2000
N369FR,AIRBUS,A320-251N,2020
N8570W,BOEING,737-800,2018
N921AT,BOEING,717-200,2000
207NV,AIRBUS,A320-214,2013
N191UW,AIRBUS INDUSTRIE,A321-211,2001
N8698B,BOEING,737-8H4,2016
N37527,BOEING,737-9,2021
N8308K,BOEING,737-8H4,2012
N929DZ,BOEING,737-900ER,2019
N591NN,BOMBARDIER INC,CL-600-2D24,2016
N404YX,EMBRAER S A,ERJ 170-200 LR,2013
N851DN,BOEING,737-932ER,2016
N594NN,BOMBARDIER INC,CL-600-2D24,2016
N38467,BOEING,737-924ER,2013
N8672F,BOEING,737-8H4,2015
N749SW,BOEING,737-7H4,1999
N7702A,BOEING,737-7BD,2004
N37516,BOEING,737-9,2020
N990AN,BOEING,737-823,2009
N938WN,BOEING,737-7H4,2009
N891UA,AIRBUS,A319-132,2006
N893NN,BOEING,737-823,2012
N901NK,AIRBUS,A320-271N,2016
N7854B,BOEING,737-71B,2006
N825DN,BOEING,737-932ER,2014
N7875A,BOEING,737-7Q8,2004
N8523W,BOEING,737-800,2017
N27213,BOEING,737-824,1998
N493AS,BOEING,737-990ER,2016
N341PQ,BOMBARDIER INC,CL-600-2D24,2014
N875DN,BOEING,737-900ER,2017
N8712L,BOEING,737-8,2017
N8696E,BOEING,737-8H4,2016
N640NK,AIRBUS,A320-232,2015
N7746C,BOEING,737-7BD,2007
N479WN,BOEING,737-7H4,2004
N917UY,AIRBUS,A321-231,2015
N948NN,BOEING,737-823,2014
N654NK,AIRBUS,A320-232,2018
N76522,BOEING,737-824,2010
N691NK,AIRBUS,A320-232,2018
N9008U,AIRBUS,A319-115,2013
N7859B,BOEING,737-7Q8,2002
N8524Z,BOEING,737-800,2017
N906AA,AIRBUS,A321-231,2017
N903NK,AIRBUS,A320-271N,2016
N928WN,BOEING,737-7H4,2008
N8643A,BOEING,737-8H4,2014
N902DN,BOEING,737-900ER,2018
N695CA,BOMBARDIER INC,CL-600-2D24,2006
N672NK,AIRBUS,A321-231,2017
N737US,AIRBUS INDUSTRIE,A319-112,2000
N916NK,AIRBUS,A320-271N,2019
N560NN,BOMBARDIER INC,CL-600-2D24,2014
N231WN,BOEING,737-7H4,2006
N371FR,AIRBUS,A320-251N,2020
N866DN,BOEING,737-900ER,2016
N465WN,BOEING,737-7H4,2004
N299WN,BOEING,737-7H4,
N949NK,AIRBUS,A320-271N,2021
N416YX,EMBRAER,ERJ 170-200 LR,2013
N7877H,BOEING,737-7Q8,2005
N8559Q,BOEING,737-800,2018
N8502Z,BOEING,737-800,2016
N895NN,BOEING,737-823,2012
N851UA,AIRBUS,A319-131,2002
N880NN,BOEING,737-823,2011
N629NK,AIRBUS,A320-232,2014
N438WN,BOEING,737-7H4,2003
N936WN,BOEING,737-7H4,2009
N461WN,BOEING,737-7H4,2004
N8692F,BOEING,737-8H4,2016
N7888A,BOEING,737-700,2007
N767SK,BOMBARDIER INC,CL-600-2C11,2005
N8642E,BOEING,737-8H4,2014
N8633A,BOEING,737-8H4,2014
N7729A,BOEING,737-76N,2006
N145AN,AIRBUS,A321-231,2015
N8535S,BOEING,737-800,2017
N694NK,AIRBUS,A320-232,2018
N819UA,AIRBUS INDUSTRIE,A319-131,1998
N883DN,BOEING,737-900ER,2017
N166PQ,BOMBARDIER INC,CL-600-2D24,2008
N260WN,BOEING,737-7H4,2006
N8514F,BOEING,737-800,2016
N426YX,EMBRAER S A,ERJ 170-200 LR,2014
N8538V,BOEING,737-800,2017
N8648A,BOEING,737-8H4,2014
N8534Z,BOEING,737-800,2017
N475WN,BOEING,737-7H4,2004
N620NK,AIRBUS,A320-232,2013
N8609A,BOEING,737-8H4,2013
N778SW,BOEING,737-7H4,2000
N927NK,AIRBUS,A320-271N,2020
N320PQ,BOMBARDIER INC,CL-600-2D24,2014
N912NN,BOEING,737-823,2012
N8625A,BOEING,737-8H4,2014
N8539V,BOEING,737-800,2017
N606NK,AIRBUS,A320-232,2011
N650NK,AIRBUS,A320-232,2017
N806DN,BOEING,737-932ER,2013
N7736A,BOEING,737-7BD,2006
N278WN,BOEING,737-7H4,2007
N251WN,BOEING,737-7H4,2006
N378NW,AIRBUS,A320-211,2003
N738US,AIRBUS INDUSTRIE,A319-112,2000
N935NK,AIRBUS,A320-271N,2020
N137HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N323NB,AIRBUS INDUSTRIE,A319-114,2001
N658NK,AIRBUS,A321-231,2015
N9025B,AIRBUS,A319-115,2014
N491WN,BOEING,737-7H4,2004
N655NK,AIRBUS,A320-232,2018
N439WN,BOEING,737-7H4,2003
N658CA,BOMBARDIER INC,CL-600-2C11,2004
N8634A,BOEING,737-8H4,2014
N722FR,AIRBUS,A321-211,2018
N297WN,BOEING,737-7H4,2007
N274WN,BOEING,737-7H4,2007
N243WN,BOEING,737-7H4,2006
N871DN,BOEING,737-900ER,
N364FR,AIRBUS,A320-251N,2019
N8511K,BOEING,737-800,2016
N926AT,BOEING,717-200,2000
N966WN,BOEING,737-7H4,2011
N8733M,BOEING,737-8,2019
N572UW,AIRBUS INDUSTRIE,A321-231,2013
N910WN,BOEING,737-7H4,2008
N476WN,BOEING,737-7H4,2004
N7734H,BOEING,737-7BD,2006
N220WN,BOEING,737-7H4,2005
N207WN,BOEING,737-7H4,2005
N8729H,BOEING,737-8,2018
N944AN,BOEING,737-823,2000
N317NB,AIRBUS INDUSTRIE,A319-114,2000
N709FR,AIRBUS,A321-211,2016
N919NK,AIRBUS,A320-271N,2019
N8683D,BOEING,737-8H4,2016
N8808Q,BOEING,737-8,2021
N8314L,BOEING,737-8H4,2012
N667AW,AIRBUS INDUSTRIE,A320-232,2002
N8602F,BOEING,737-8H4,2012
N38268,BOEING,737-824,2001
N876DN,BOEING,737-900ER,
N8816Q,BOEING,737-8,2021
N939WN,BOEING,737-7H4,2009
N38443,BOEING,737-924ER,2010
N882DN,BOEING,737-900ER,2017
N135HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N337PQ,BOMBARDIER INC,CL-600-2D24,2014
238NV,AIRBUS,A320-214,
N584NN,BOMBARDIER INC,CL-600-2D24,2016
N8572X,BOEING,737-800,2018
N724YX,EMBRAER S A,ERJ 170-200 LR,2015
N752EV,BOMBARDIER INC,CL-600-2C10,
N342FR,AIRBUS,A320-251N,2018
N8749Q,BOEING,737-8,2021
N692NK,AIRBUS,A320-232,2018
N7731A,BOEING,737-76N,2006
N8526W,BOEING,737-800,2017
N903DN,BOEING,737-900ER,2018
N8619F,BOEING,737-8H4,2013
N275WN,BOEING,737-7H4,2007
N226WN,BOEING,737-7H4,2005
N8547V,BOEING,737-800,2017
N8676A,BOEING,737-8H4,2015
N295WN,BOEING,737-7H4,2007
N7868K,BOEING,737-79P,2001
N8747Q,BOEING,737-8,2020
N292WN,BOEING,737-7H4,2007
N615NK,AIRBUS,A320-232,2012
N8697C,BOEING,737-8H4,2016
N601LR,BOMBARDIER INC,CL-600-2D24,2007
N205NN,EMBRAER S A,ERJ 170-200 LR,2015
N811DZ,BOEING,737-932ER,2013
N856NN,BOEING,737-823,2010
N8695D,BOEING,737-8H4,2016
N440YX,EMBRAER S A,ERJ 170-200 LR,2014
N8527Q,BOEING,737-800,2017
N894NN,BOEING,737-823,2012
N252WN,BOEING,737-7H4,2006
N69847,BOEING,737-924ER,2015
N907AN,BOEING,737-823,1999
N7747C,BOEING,737-7BD,2007
N300PQ,BOMBARDIER INC,CL-600-2D24,2013
N409YX,EMBRAER,ERJ 170-200 LR,2013
N446WN,BOEING,737-7H4,2003
N896UA,AIRBUS,A319-132,2007
N370NB,AIRBUS,A319-114,2003
N8708Q,BOEING,737-8,2017
N8623F,BOEING,737-8H4,2013
N740UW,AIRBUS INDUSTRIE,A319-112,2000
N436WN,BOEING,737-7H4,2003
N261NN,EMBRAER S A,ERJ 170-200 LR,2017
N35204,BOEING,737-824,2000
N614NN,BOMBARDIER INC,CL-600-2D24,2020
N8653A,BOEING,737-8H4,2014
N710UW,AIRBUS INDUSTRIE,A319-112,1999
N908WN,BOEING,737-7H4,2008
N37510,BOEING,737-9,2019
N279PQ,BOMBARDIER INC,CL-600-2D24,2013
N898NN,BOEING,737-823,2012
N18243,BOEING,737-824,1999
N8714Q,BOEING,737-8,2017
N33266,BOEING,737-824,2001
N909XJ,BOMBARDIER INC,CL-600-2D24,2007
N676NK,AIRBUS,A321-231,2017
N387FR,AIRBUS,A320-251N,2021
N73276,BOEING,737-824,2002
N253WN,BOEING,737-7H4,2006
N487WN,BOEING,737-7H4,2004
N126AN,AIRBUS,A321-231,2014
N927WN,BOEING,737-7H4,
N930XJ,BOMBARDIER INC,CL-600-2D24,2008
N8706W,BOEING,737-8,2017
N9006,AIRBUS,A319-115,2013
N938NK,AIRBUS,A320-271N,2021
N713FR,AIRBUS,A321-211,2016
N553NN,BOMBARDIER INC,CL-600-2D24,2014
N66897,BOEING,737-900ER,2016
N668AW,AIRBUS,A320-232,2002
N8614M,BOEING,737-8H4,2013
285NV,AIRBUS,A320-214,2012
N347NB,AIRBUS,A319-114,2002
N803NN,BOEING,737-823,
N917WN,BOEING,737-7H4,2008
N888DU,BOEING,737-900ER,2017
N264LV,BOEING,737-7H4,2007
N962NN,BOEING,737-823,2014
N7742B,BOEING,737-7BD,2007
N901XJ,BOMBARDIER INC,CL-600-2D24,2007
N428WN,BOEING,737-7H4,2002
N843DN,BOEING,737-932ER,2015
N73406,BOEING,737-924,2001
N118US,AIRBUS INDUSTRIE,A320-214,2000
N17245,BOEING,737-824,1999
N969AN,BOEING,737-823,2001
N353DN,AIRBUS,A321-211,2018
N8319F,BOEING,737-8H4,2012
N266WN,BOEING,737-7H4,2007
233NV,AIRBUS,A320-214,2003
N809DN,BOEING,737-932ER,2013
N134HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N108HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N223NN,EMBRAER S A,ERJ 170-200 LR,2015
N622NK,AIRBUS,A320-232,2013
N7848A,BOEING,737-752,2005
N934NK,AIRBUS,A320-271N,2020
N929NK,AIRBUS,A320-271N,2020
N332NB,AIRBUS INDUSTRIE,A319-114,2001
N992AN,BOEING,737-823,2009
N963WN,BOEING,737-7H4,2011
N802DN,BOEING,737-932ER,2013
N708UW,AIRBUS INDUSTRIE,A319-112,1999
N103DY,AIRBUS,A321-211,2020
N8717M,BOEING,737-8,2018
N8716B,BOEING,737-8,2017
N952NN,BOEING,737-823,2014
N874DN,BOEING,737-900ER,2017
N642NK,AIRBUS,A320-232,2015
N232WN,BOEING,737-7H4,2006
N891NN,BOEING,737-823,2012
N919DU,BOEING,737-900ER,2019
N77518,BOEING,737-824,2008
N556AS,BOEING,737-890,2006
N924XJ,BOMBARDIER INC,CL-600-2D24,2008
N741UW,AIRBUS INDUSTRIE,A319-112,2000
N344NB,AIRBUS,A319-114,2002
N385FR,AIRBUS,A320-251N,2021
N8324A,BOEING,737-8H4,2012
N263WN,BOEING,737-7H4,2007
N37523,BOEING,737-9,2020
N7876A,BOEING,737-7Q8,2004
N600LR,BOMBARDIER INC,CL-600-2D24,2007
N809NN,BOEING,737-823,2009
N468WN,BOEING,737-7H4,2004
N942WN,BOEING,737-7H4,2009
N913WN,BOEING,737-7H4,2008
N76528,BOEING,737-824,2010
N107HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N729YX,EMBRAER S A,ERJ 170-200 LR,2015
N343NB,AIRBUS,A319-114,2002
N293WN,BOEING,737-7H4,2007
N7751A,BOEING,737-7BD,2008
N7831B,BOEING,737-7CT,2003
N27520,BOEING,737-9,2020
N858DZ,BOEING,737-932ER,2016
N281AK,BOEING,737-900ER,2017
N234JW,EMBRAER S A,ERJ 170-200 LR,2016
N87302,EMBRAER S A,ERJ 170-200 LL,2014
N973NN,BOEING,737-823,2015
N757LV,BOEING,737-7H4,1999
N638NK,AIRBUS,A320-232,2015
N305PQ,BOMBARDIER INC,CL-600-2D24,2014
N341NW,AIRBUS INDUSTRIE,A320-212,1992
N660NK,AIRBUS,A321-231,2015
N233LV,BOEING,737-7H4,2006
N249WN,BOEING,737-7H4,2006
N79521,BOEING,737-824,2010
N523AS,BOEING,737-890,2009
N292PQ,BOMBARDIER INC,CL-600-2D24,2013
N8315C,BOEING,737-8H4,2012
N351FR,AIRBUS,A320-251N,2019
N7827A,BOEING,737-79P,2003
N929AT,BOEING,717-200,2000
257NV,AIRBUS,A320-214,2018
N8578Q,BOEING,737-800,2018
N812NN,BOEING,737-823,2009
N146PQ,BOMBARDIER INC,CL-600-2D24,2007
N603NK,AIRBUS,A320-232,2010
N826DN,BOEING,737-932ER,2014
N583NN,BOMBARDIER INC,CL-600-2D24,2016
N8674B,BOEING,737-8H4,2015
N478AS,BOEING,737-990ER,2015
N927DZ,BOEING,737-900ER,2019
N747UW,AIRBUS INDUSTRIE,A319-112,2000
N8316H,BOEING,737-8H4,2012
N339NB,AIRBUS,A319-114,2002
N8681M,BOEING,737-8H4,2016
N8738K,BOEING,737-8,2020
N8687A,BOEING,737-8H4,2016
N240WN,BOEING,737-7H4,2006
N398CA,BOMBARDIER INC,CL-600-2C10,2003
N939NN,BOEING,737-823,2013
N36272,BOEING,737-824,2001
N679AW,AIRBUS,A320-232,2005
N831DN,BOEING,737-932ER,2014
N38479,BOEING,737-900ER,2016
N329NB,AIRBUS INDUSTRIE,A319-114,2001
N569WN,BOEING,737-7CT,2002
N8532S,BOEING,737-800,2017
N932NK,AIRBUS,A320-271N,2020
N368NB,AIRBUS,A319-114,2003
N8739L,BOEING,737-8,2020
N33294,BOEING,737-824,2005
N904NK,AIRBUS,A320-271N,2016
N7860A,BOEING,737-79P,2005
N552NN,BOMBARDIER INC,CL-600-2D24,2014
N7745A,BOEING,737-7BD,2007
N651NK,AIRBUS,A320-232,2017
N816NN,BOEING,737-823,2009
N827UA,AIRBUS INDUSTRIE,A319-131,1999
N303PQ,BOMBARDIER INC,CL-600-2D24,2014
N609NK,AIRBUS,A320-232,2011
N8675A,BOEING,737-8H4,2015
N637NK,AIRBUS,A320-232,2015
N36207,BOEING,737-824,2000
N215WN,BOEING,737-7H4,2005
N766SK,BOMBARDIER INC,CL-600-2C10,2005
N361NB,AIRBUS,A319-114,2003
N304FR,AIRBUS,A320-251N,2016
N723UW,AIRBUS INDUSTRIE,A319-112,1999
N908DN,BOEING,737-900ER,
N857DZ,BOEING,737-932ER,2016
N110UW,AIRBUS INDUSTRIE,A320-214,1999
N35271,BOEING,737-824,2001
N8573Z,BOEING,737-800,2018
N8565Z,BOEING,737-800,2018
N324PQ,BOMBARDIER INC,CL-600-2D24,2014
